Candidate,House/Senate,State,District,Party,Status,Election Year,Gender,Gender Var
"GOYLE, RAJ",H,KS,4,DEM,OPEN,2010,,
"GIONIS, XANTHI",H,CA,51,REP,OPEN,2012,,
"GILLUM, R. J.",H,NV,2,DEM,OPEN,2012,,
"GILLAN, KIM",H,MT,0,DEM,OPEN,2012,,
"GARRETT, MYKALE L",H,MI,14,DEM,OPEN,2014,,
"GALLOWAY, G.G.",H,FL,6,REP,OPEN,2016,,
"GABBARD, TULSI",H,HI,2,DEM,OPEN,2012,,
"FOSTER, BURGESS",H,MI,14,DEM,OPEN,2014,,
"ESPAILLAT, ADRIANO",H,NY,13,DEM,OPEN,2016,,
"ECK, ALIETA DR",H,NJ,12,REP,OPEN,2014,,
"DYAS, J. DANIEL, SR.",H,AL,1,REP,OPEN,2014,,
"DOWNER, HUNTINGTON B JR",H,LA,3,REP,OPEN,2010,,
"DAYLIN, LEACH B",H,PA,13,DEM,OPEN,2014,,
"DAVIS, DERECK EUGENE",H,MD,4,DEM,OPEN,2016,,
"DANDEKAR, SWATI ARVIND",H,IA,1,DEM,OPEN,2014,,
"CROWLEY, KAWIKA",H,HI,2,REP,OPEN,2012,,
"CRAWLEY, CENDIE",H,AL,2,DEM,OPEN,2008,,
"CRABTREE, VALLERI",H,FL,9,DEM,OPEN,2016,,
"COUNCIL, TEMPERANCE A LANCE",H,CA,25,DEM,OPEN,2014,,
"COOK, TAMARKUS",H,GA,3,DEM,OPEN,2016,,
"COBB, MARCK REDELL",H,KS,1,REP,OPEN,2010,,
"CLARKE, HANSEN",H,MI,14,DEM,OPEN,2014,,
"CHIVUKULA, UPENDRA J",H,NJ,12,DEM,OPEN,2014,,
"CASTILLE, KALIKO",H,OR,1,DEM,OPEN,2012,,
"CASTELLANES, PEPITO L",H,CO,6,REP,OPEN,2008,,
"CASH, ARTIS",H,LA,4,DEM,OPEN,2008,,
"CARR, ELAN S.",H,CA,33,REP,OPEN,2014,,
"CARBAJAL, SALUD",H,CA,24,DEM,OPEN,2016,,
"CAGE, ERICKE",H,VA,5,DEM,OPEN,2016,,
"BUTLER , DEVORE E.",H,TN,6,DEM,OPEN,2010,,
"BROWNE, VINNY",H,HI,1,DEM,OPEN,2010,,
"BLAKE, M. WAYNE",H,CA,32,REP,OPEN,2010,,
"BENTON, C DAN",H,FL,14,REP,OPEN,2012,,
"BELTRAN, ESTAKIO",H,WA,4,DEM,OPEN,2014,,
"BEGAY, CARLYLE WILMER",H,AZ,1,REP,OPEN,2016,,
"BASTIEN, MARLEINE M",H,FL,17,DEM,OPEN,2010,,
"BARVE, KUMAR",H,MD,8,DEM,OPEN,2016,,
"AYAD, BRAHIM",H,OH,11,DEM,OPEN,2008,,
"ARRINGTON, JODEY COOK",H,TX,19,REP,OPEN,2016,,
"ANDERSON, IKAIKA",H,HI,1,DEM,OPEN,2014,,
"AMSTERDAM, C KAUI JOCHANAN",H,HI,1,REP,OPEN,2010,,
"AMAR, AMAR DEV",H,NJ,7,REP,OPEN,2008,,
"AKHLAGHI, BANAFSHEH",H,CA,2,DEM,OPEN,2012,,
"AHMED, SABA",H,OR,1,DEM,OPEN,2012,,
"ACHADJIAN, KHATCHIK",H,CA,24,REP,OPEN,2016,,
"ABRAHAMS, KEVAN",H,NY,4,DEM,OPEN,2014,,
