"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"MCCALLUM, JOHN","H","GA","1","REP","OPEN","2014","male","0","8.888888889","republican","0","0","0","0","0","1","0","0","0","0","GA12014","70.98"
"MCCLINTOCK, THOMAS","H","CA","4","REP","OPEN","2008","male","0","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA42008","67.39"
"MCCONOUGHEY, JIM","H","IL","18","REP","OPEN","2008","male","0","10.16949153","republican","0","0","0","1","0","0","0","0","0","0","IL182008","67.84"
"MCCOY, PETER MICHAEL JR","H","SC","1","REP","OPEN","2014","male","0","8.064516129","republican","0","0","0","0","0","1","0","0","0","0","SC12014","87.49"
"MCCRAY, JOSEPH SR","H","CA","6","REP","OPEN","2012","male","0","7.5","republican","0","0","0","0","0","0","0","0","0","1","CA62012","89.71"
"MCCULLOCH, CRAIG","H","LA","6","REP","OPEN","2014","male","0","4.761904762","republican","0","0","0","0","0","0","0","1","0","0","LA62014","78.12"
"MCCULLOUGH, GLENN L JR","H","MS","1","REP","OPEN","2008","male","0","3.278688525","republican","0","0","0","0","0","0","1","0","0","0","MS12008","38.36"
"MCDERMOTT, GEORGE E.","H","MD","4","REP","OPEN","2016","male","0","7.80141844","republican","0","0","0","0","0","1","0","0","0","0","MD42016","98.57"
"MCGOFF, JOHN P","H","IN","5","REP","OPEN","2012","male","0","10","republican","0","0","0","1","0","0","0","0","0","0","IN52012","74.53"
"MCINTOSH, DAVID MARTIN","H","IN","5","REP","OPEN","2012","male","0","10","republican","0","0","0","1","0","0","0","0","0","0","IN52012","74.53"
"MCKEE, RAY","H","AL","5","REP","OPEN","2008","male","0","2.857142857","republican","0","0","0","0","0","0","1","0","0","0","AL52008","59.44"
"MCKELVEY, JAMES K","H","VA","5","REP","OPEN","2016","male","0","4","republican","0","0","0","0","0","1","0","0","0","0","VA52016","35.30"
"MCKINLEY, PAUL","H","IL","2","REP","OPEN","2014","male","0","8.474576271","republican","0","0","0","1","0","0","0","0","0","0","IL22014","94.72"
"MCLELLAN , BRUCE","H","TN","6","REP","OPEN","2010","male","0","5.050505051","republican","0","0","0","0","0","0","1","0","0","0","TN62010","52.89"
"MCMANUS, GERARD","H","NJ","1","REP","OPEN","2014","male","0","12.5","republican","0","0","1","0","0","0","0","0","0","0","NJ12014","98.20"
"MCMILLIN, THOMAS E","H","MI","8","REP","OPEN","2014","male","0","7.272727273","republican","0","0","0","1","0","0","0","0","0","0","MI82014","79.23"
"MCNULTY, TERRY J MR.","H","WI","8","REP","OPEN","2016","male","0","9.090909091","republican","0","0","0","1","0","0","0","0","0","0","WI82016","63.40"
"MCPHERSON, CRAIG","H","KS","3","REP","OPEN","2010","male","0","12","republican","0","0","0","0","1","0","0","0","0","0","KS32010","94.65"
"MCQUEEN, CLAY D","H","PA","13","REP","OPEN","2014","male","0","10.34482759","republican","0","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"MEADOWS, MARK R","H","NC","11","REP","OPEN","2012","male","0","10.83333333","republican","0","0","0","0","0","1","0","0","0","0","NC112012","43.86"
"MEEHAN, PATRICK L","H","PA","7","REP","OPEN","2010","male","0","8.866995074","republican","0","0","1","0","0","0","0","0","0","0","PA72010","98.56"
"MEEKS, DAVID MARK EMERSON","H","AR","2","REP","OPEN","2010","male","0","9","republican","0","0","0","0","0","0","0","1","0","0","AR22010","66.20"
"MEER, EDWARD R","H","OH","8","REP","OPEN","2016","male","0","13.13131313","republican","0","0","0","1","0","0","0","0","0","0","OH82016","75.68"
"MEHAFFEY, SAMUEL DAVID","H","TX","19","REP","OPEN","2016","male","0","8.666666667","republican","0","0","0","0","0","0","0","1","0","0","TX192016","74.25"
"MELKUS, VINCENT","H","MT","0","REP","OPEN","2012","male","0","9","republican","0","0","0","0","0","0","0","0","1","0","MT02012","55.9"
"MESSER, ALLEN LUCAS","H","IN","6","REP","OPEN","2012","male","0","10","republican","0","0","0","1","0","0","0","0","0","0","IN62012","59.23"
"MEYER, CHARLES B","H","TX","36","REP","OPEN","2014","male","0","10","republican","0","0","0","0","0","0","0","1","0","0","TX362014","67.74"
"MIDBUST, KEVIN","H","WA","4","REP","OPEN","2014","male","0","9.183673469","republican","0","0","0","0","0","0","0","0","0","1","WA42014","74.06"
"MIELKE, DANIEL E MR.","H","WI","7","REP","OPEN","2010","male","0","6.060606061","republican","0","0","0","1","0","0","0","0","0","0","WI72010","42.04"
"MILLER, DANIEL","H","NV","2","REP","OPEN","2012","male","0","2.380952381","republican","0","0","0","0","0","0","0","0","1","0","NV22012","78.45"
"MILLER, DARLENE","H","MN","2","REP","OPEN","2016","female","1","13.43283582","republican","0","0","0","0","1","0","0","0","0","0","MN22016","86.97"
"MILLER, MATT","H","OH","16","REP","OPEN","2008","male","0","6.060606061","republican","0","0","0","1","0","0","0","0","0","0","OH162008","73.63"
"MILLS, JOHN JOHN","H","TN","8","REP","OPEN","2016","male","0","9.090909091","republican","0","0","0","0","0","0","1","0","0","0","TN82016","60.83"
"MILLS, MICHAEL P. JR","H","MS","1","REP","OPEN","2016","male","0","4.098360656","republican","0","0","0","0","0","0","1","0","0","0","MS12016","41.89"
