"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen","Check Column","PartyVar","_regNewEngland","_regMidAtlantic","_regENCentral","_regWNCentral","_regSouthAtlantic","_regESCentral","_regWSCentral","_regMountainWest","_regPacific","urb_district_id","urbanPercent"
"ABARR, JOHN ALLEN","H","MT","0","DEM","OPEN","2012","male","0","19","democrat","1","0","0","0","0","0","0","0","1","0","MT02012","55.9"
"ABRAHAMS, KEVAN","H","NY","4","DEM","OPEN","2014","male","0","20","democrat","1","0","1","0","0","0","0","0","0","0","NY42014","99.97"
"ADAM, LEROY","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"ADAMS, DANIELLE","H","NC","6","DEM","OPEN","2014","female","1","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC62014","56.28"
"ADAMS, JOHN","H","AR","2","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR22010","66.20"
"ADAMS, JON","H","NM","3","DEM","OPEN","2008","male","0","14.28571429","democrat","1","0","0","0","0","0","0","0","1","0","NM32008","62.70"
"ADAMS, SUSAN L","H","CA","2","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"ADKINS, WILLIAM R. BILL","H","KY","4","DEM","OPEN","2012","male","0","11","democrat","1","0","0","0","0","0","1","0","0","0","KY42012","59.79"
"ADLER, AMBER LASHELLE","H","NY","11","DEM","OPEN","2016","female","1","24.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY112016","100.00"
"ADLER, DANIEL H","H","CA","36","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"ADLER, JOHN H","H","NJ","3","DEM","OPEN","2008","male","0","22.5","democrat","1","0","1","0","0","0","0","0","0","0","NJ32008","96.17"
"AFFELDT, ALLAN","H","AZ","1","DEM","OPEN","2008","male","0","15","democrat","1","0","0","0","0","0","0","0","1","0","AZ12008","55.40"
"AGUILAR, PETE","H","CA","31","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA312014","99.44"
"AHMED, SABA","H","OR","1","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","OR12012","86.65"
"AKHLAGHI, BANAFSHEH","H","CA","2","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"ALBERT-KAIGLER, LULA","H","AL","1","DEM","OPEN","2014","female","1","8.571428571","democrat","1","0","0","0","0","0","1","0","0","0","AL12014","66.82"
"ALEXANDER, LORI P","H","VA","11","DEM","OPEN","2008","female","1","10","democrat","1","0","0","0","0","1","0","0","0","0","VA112008","95.97"
"ALONSO, FRANCISCO","H","CA","32","DEM","OPEN","2010","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA322010","99.97"
"ALVARADO, MARIA LUISA","H","TX","35","DEM","OPEN","2012","female","1","8.666666667","democrat","1","0","0","0","0","0","0","1","0","0","TX352012","95.99"
"ANDERSON, DAVID M","H","MD","8","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD82016","88.08"
"ANDERSON, IKAIKA","H","HI","1","DEM","OPEN","2014","female","1","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12014","99.73"
"ANDERSON, QUENTIN ANTHONY","H","LA","6","DEM","OPEN","2014","male","0","8.571428571","democrat","1","0","0","0","0","0","0","1","0","0","LA62014","78.12"
"ANNUNZIO, FRANK","H","IL","5","DEM","OPEN","2010","male","0","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL52010","100.00"
"APPEL, STACI","H","IA","3","DEM","OPEN","2014","female","1","19","democrat","1","0","0","0","1","0","0","0","0","0","IA32014","77.76"
"ARKOOSH, VALERIE ANN","H","PA","13","DEM","OPEN","2014","female","1","7.881773399","democrat","1","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"ARROJO, JOSE ROLANNDO","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL252010","94.54"
"AVAKIAN, BRAD","H","OR","1","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","OR12012","86.65"
"AYAD, BRAHIM","H","OH","11","DEM","OPEN","2008","male","0","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH112008","100.00"
"BACA, JOE","H","CA","31","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA312014","99.44"
"BANKS, WILLIE JR","H","LA","4","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA42008","59.24"
"BARBER, RONALD","H","AZ","2","DEM","OPEN","2012","male","0","11.66666667","democrat","1","0","0","0","0","0","0","0","1","0","AZ22012","88.97"
"BARFIELD, JONATHAN JR","H","NC","7","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC72014","48.02"
"BARNEY, SEAN","H","DE","0","DEM","OPEN","2016","male","0","17.07317073","democrat","1","0","0","0","0","1","0","0","0","0","DE02016","83.3"
"BARRAGAN, NANETTE","H","CA","44","DEM","OPEN","2016","female","1","13.75","democrat","1","0","0","0","0","0","0","0","0","1","CA442016","100.00"
"BARROWS, ROBERT MILTON","H","CA","12","DEM","OPEN","2008","male","0","21.25","democrat","1","0","0","0","0","0","0","0","0","1","CA122008","99.92"
"BARRY , HENRY CLAY","H","TN","6","DEM","OPEN","2010","male","0","12.12121212","democrat","1","0","0","0","0","0","1","0","0","0","TN62010","52.89"
"BARVE, KUMAR","H","MD","8","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD82016","88.08"
"BASS, KAREN","H","CA","33","DEM","OPEN","2010","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA332010","100.00"
"BASTIEN, MARLEINE M","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"BATTLE, GEORGE EDWARD III","H","NC","12","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC122014","96.03"
"BAY, GEORGE S","H","NV","2","DEM","OPEN","2012","male","0","26.19047619","democrat","1","0","0","0","0","0","0","0","1","0","NV22012","78.45"
"BEALE, ANTHONY A","H","IL","2","DEM","OPEN","2014","male","0","25.42372881","democrat","1","0","0","1","0","0","0","0","0","0","IL22014","94.72"
"BELGARD, AIMEE","H","NJ","3","DEM","OPEN","2014","female","1","20","democrat","1","0","1","0","0","0","0","0","0","0","NJ32014","95.73"
"BELTRAN, ESTAKIO","H","WA","4","DEM","OPEN","2014","male","0","21.42857143","democrat","1","0","0","0","0","0","0","0","0","1","WA42014","74.06"
"BERNIER, NICHOLAS DENNIS","H","MA","4","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","0","MA42012","88.24"
"BERRY, BRIAN","H","WA","1","DEM","OPEN","2012","male","0","19.3877551","democrat","1","0","0","0","0","0","0","0","0","1","WA12012","95.31"
"BEYER, DONALD STERNOFF JR","H","VA","8","DEM","OPEN","2014","male","0","12","democrat","1","0","0","0","0","1","0","0","0","0","VA82014","99.71"
"BLYTH, JOHN","H","IL","2","DEM","OPEN","2014","male","0","25.42372881","democrat","1","0","0","1","0","0","0","0","0","0","IL22014","94.72"
"BLYTHE, STEPHEN LEE","H","FL","15","DEM","OPEN","2008","male","0","13.33333333","democrat","1","0","0","0","0","1","0","0","0","0","FL152008","89.64"
"BOCCIERI, JOHN A","H","OH","16","DEM","OPEN","2008","male","0","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH162008","73.63"
"BODE, LYNDON","H","MO","9","DEM","OPEN","2008","male","0","14.11042945","democrat","1","0","0","0","0","0","0","0","0","0","MO92008","45.83"
"BOLGER, RICHARD OWEN","H","VA","10","DEM","OPEN","2014","male","0","12","democrat","1","0","0","0","0","1","0","0","0","0","VA102014","85.53"
"BOLING, DAVID ALAN","H","AR","2","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR22010","66.20"
"BOLLING, DAN","H","MD","8","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD82016","88.08"
"BOLLING, DANIEL WADE","H","IN","6","DEM","OPEN","2012","male","0","11","democrat","1","0","0","1","0","0","0","0","0","0","IN62012","59.23"
"BOND, MICHAEL","H","IL","10","DEM","OPEN","2010","male","0","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL102010","99.55"
"BOOKOUT, BRADLEY T","H","IN","6","DEM","OPEN","2012","male","0","11","democrat","1","0","0","1","0","0","0","0","0","0","IN62012","59.23"
"BORDERS, JASON D","H","FL","9","DEM","OPEN","2016","male","0","10.83333333","democrat","1","0","0","0","0","1","0","0","0","0","FL92016","93.95"
"BOSWELL, DAVID E","H","KY","2","DEM","OPEN","2008","male","0","10","democrat","1","0","0","0","0","0","1","0","0","0","KY22008","47.28"
"BOTHWELL, CECIL","H","NC","11","DEM","OPEN","2012","male","0","19.16666667","democrat","1","0","0","0","0","1","0","0","0","0","NC112012","43.86"
"BOTVIN, IVAN J","H","CO","6","DEM","OPEN","2008","male","0","32.30769231","democrat","1","0","0","0","0","0","0","0","1","0","CO62008","84.63"
"BOWEN, DEBRA","H","CA","36","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"BOYLE, BRENDAN F","H","PA","13","DEM","OPEN","2014","male","0","7.881773399","democrat","1","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"BRANDMAN, JORDAN","H","CA","46","DEM","OPEN","2016","male","0","13.75","democrat","1","0","0","0","0","0","0","0","0","1","CA462016","100.00"
"BRANDON, MARCUS","H","NC","12","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC122014","96.03"
"BRENNAN, MICHAEL F","H","ME","1","DEM","OPEN","2008","male","0","23.17880795","democrat","1","1","0","0","0","0","0","0","0","0","ME12008","49.44"
"BRIGHT, BOBBY NEAL MR. SR.","H","AL","2","DEM","OPEN","2008","male","0","10.47619048","democrat","1","0","0","0","0","0","1","0","0","0","AL22008","50.02"
"BROOKS, JOHN L II","H","CA","51","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA512012","95.64"
"BROOKS, TRACEY","H","NY","21","DEM","OPEN","2008","female","1","22.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY212008","84.31"
"BROOMELL, FRANK CRAIG JR","H","NJ","1","DEM","OPEN","2014","male","0","20","democrat","1","0","1","0","0","0","0","0","0","0","NJ12014","98.20"
"BROWN, ANTHONY GREGORY","H","MD","4","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD42016","98.57"
"BROWN, CHARLES","H","CA","4","DEM","OPEN","2008","male","0","21.25","democrat","1","0","0","0","0","0","0","0","0","1","CA42008","67.39"
"BROWN, JEFFREY G","H","AZ","1","DEM","OPEN","2008","male","0","15","democrat","1","0","0","0","0","0","0","0","1","0","AZ12008","55.40"
"BROWN, RACHEL","H","MA","4","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","0","MA42012","88.24"
"BROWNE, VINNY","H","HI","1","DEM","OPEN","2010","male","0","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12010","99.27"
"BRUTUS, OTTO PATRICK","H","IL","2","DEM","OPEN","2014","male","0","25.42372881","democrat","1","0","0","1","0","0","0","0","0","0","IL22014","94.72"
"BRUTUS, PHILLIP J","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"BRYLES, STEVE MARK","H","AR","1","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR12010","44.64"
"BULLWINKEL, DEBORAH M","H","IL","8","DEM","OPEN","2016","female","1","27.11864407","democrat","1","0","0","1","0","0","0","0","0","0","IL82016","99.99"
"BURNER, DARCY","H","WA","1","DEM","OPEN","2012","female","1","19.3877551","democrat","1","0","0","0","0","0","0","0","0","1","WA12012","95.31"
"BURRIDGE, CRAIG MICHAEL","H","NY","21","DEM","OPEN","2008","male","0","22.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY212008","84.31"
"BURTON, ROBERT","H","SC","1","DEM","OPEN","2010","male","0","6.451612903","democrat","1","0","0","0","0","1","0","0","0","0","SC12010","78.44"
"BUSH, JAMES III","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL172010","100.00"
"BUTCHER, VICKIE","H","CA","52","DEM","OPEN","2008","female","1","21.25","democrat","1","0","0","0","0","0","0","0","0","1","CA522008","93.62"
"BUTLER , DEVORE E.","H","TN","6","DEM","OPEN","2010","male","0","12.12121212","democrat","1","0","0","0","0","0","1","0","0","0","TN62010","52.89"
"BYRNE, LESLIE L","H","VA","11","DEM","OPEN","2008","female","1","10","democrat","1","0","0","0","0","1","0","0","0","0","VA112008","95.97"
"CAFFREY, ANDREW AUGUSTINE IV","H","CA","2","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"CAGE, ERICKE","H","VA","5","DEM","OPEN","2016","female","1","14","democrat","1","0","0","0","0","1","0","0","0","0","VA52016","35.30"
"CAHIR, WILLIAM JOHN","H","PA","5","DEM","OPEN","2008","male","0","5.418719212","democrat","1","0","1","0","0","0","0","0","0","0","PA52008","46.03"
"CAIN, EMILY ANN","H","ME","2","DEM","OPEN","2014","female","1","22.51655629","democrat","1","1","0","0","0","0","0","0","0","0","ME22014","27.89"
"CALL, JASON","H","NM","1","DEM","OPEN","2008","male","0","14.28571429","democrat","1","0","0","0","0","0","0","0","1","0","NM12008","91.35"
"CALLAHAN, COLLEEN","H","IL","18","DEM","OPEN","2008","female","1","19.49152542","democrat","1","0","0","1","0","0","0","0","0","0","IL182008","67.84"
"CAMACHO, RANDY ROBERT","H","AZ","7","DEM","OPEN","2014","male","0","18.33333333","democrat","1","0","0","0","0","0","0","0","1","0","AZ72014","99.93"
"CAMPBELL, EARL","H","OH","5","DEM","OPEN","2008","male","0","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH52008","48.81"
"CANNON, NELSON JEROME","H","MI","1","DEM","OPEN","2016","male","0","15.45454545","democrat","1","0","0","1","0","0","0","0","0","0","MI12016","36.58"
"CAPPARELLI, CARY","H","IL","5","DEM","OPEN","2010","male","0","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL52010","100.00"
"CARBAJAL, SALUD","H","CA","24","DEM","OPEN","2016","male","0","13.75","democrat","1","0","0","0","0","0","0","0","0","1","CA242016","90.43"
"CARMOUCHE, PAUL J. MR.","H","LA","4","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA42008","59.24"
"CARNEY, JOHN CHARLES JR","H","DE","0","DEM","OPEN","2010","male","0","12.19512195","democrat","1","0","0","0","0","1","0","0","0","0","DE02010","83.3"
"CARTER, BRETT RYAN","H","TN","6","DEM","OPEN","2010","male","0","12.12121212","democrat","1","0","0","0","0","0","1","0","0","0","TN62010","52.89"
"CASE, EDWARD ESPENETT","H","HI","1","DEM","OPEN","2010","male","0","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12010","99.27"
"CASEY, GEORGE NICHOLAS JR","H","WV","2","DEM","OPEN","2014","male","0","11","democrat","1","0","0","0","0","1","0","0","0","0","WV22014","51.19"
"CASH, ARTIS","H","LA","4","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA42008","59.24"
"CASTILLE, KALIKO","H","OR","1","DEM","OPEN","2012","female","1","20","democrat","1","0","0","0","0","0","0","0","0","1","OR12012","86.65"
"CASTRO, JOAQUIN MR.","H","TX","20","DEM","OPEN","2012","male","0","8.666666667","democrat","1","0","0","0","0","0","0","1","0","0","TX202012","99.77"
"CAUSEY, CHAD","H","AR","1","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR12010","44.64"
"CEDILLO, GILBERT","H","CA","32","DEM","OPEN","2010","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA322010","99.97"
"CERNIC, ED JR","H","PA","12","DEM","OPEN","2010","male","0","5.418719212","democrat","1","0","1","0","0","0","0","0","0","0","PA122010","62.56"
"CERVANTES, JOSEPH","H","NM","2","DEM","OPEN","2008","male","0","14.28571429","democrat","1","0","0","0","0","0","0","0","1","0","NM22008","70.82"
"CHANE, JONATHAN","H","FL","18","DEM","OPEN","2016","male","0","10.83333333","democrat","1","0","0","0","0","1","0","0","0","0","FL182016","96.37"
"CHANG, STANLEY","H","HI","1","DEM","OPEN","2014","male","0","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12014","99.73"
"CHAPIN, DAN","H","CO","4","DEM","OPEN","2014","male","0","27.69230769","democrat","1","0","0","0","0","0","0","0","1","0","CO42014","72.90"
"CHAPMAN, DAVE","H","CA","18","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA182012","91.31"
"CHATMAN, LAVERN","H","VA","8","DEM","OPEN","2014","male","0","12","democrat","1","0","0","0","0","1","0","0","0","0","VA82014","99.71"
"CHAVEZ, CESAR","H","AZ","7","DEM","OPEN","2014","male","0","18.33333333","democrat","1","0","0","0","0","0","0","0","1","0","AZ72014","99.93"
"CHAVEZ, MARTY","H","NM","1","DEM","OPEN","2012","male","0","17.14285714","democrat","1","0","0","0","0","0","0","0","1","0","NM12012","91.35"
"CHICON, MARTIN","H","NY","13","DEM","OPEN","2016","male","0","24.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY132016","100.00"
"CHILDERS, TRAVIS W.","H","MS","1","DEM","OPEN","2008","male","0","13.93442623","democrat","1","0","0","0","0","0","1","0","0","0","MS12008","38.36"
"CHIVUKULA, UPENDRA J","H","NJ","12","DEM","OPEN","2014","female","1","20","democrat","1","0","1","0","0","0","0","0","0","0","NJ122014","97.60"
"CHRISTOPHER, WARREN","H","MD","4","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD42016","98.57"
"CICILLINE, DAVID N","H","RI","1","DEM","OPEN","2010","male","0","22.66666667","democrat","1","1","0","0","0","0","0","0","0","0","RI12010","95.50"
"CIRELLI, MARY M.","H","OH","16","DEM","OPEN","2008","female","1","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH162008","73.63"
"CLARKE, HANSEN","H","MI","14","DEM","OPEN","2014","male","0","14.54545455","democrat","1","0","0","1","0","0","0","0","0","0","MI142014","100.00"
"CLARKE, JONATHAN CHARLES ESQ","H","NY","3","DEM","OPEN","2016","male","0","24.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY32016","99.44"
"COHEN, MARK B","H","PA","13","DEM","OPEN","2014","male","0","7.881773399","democrat","1","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"COLBERT BUSCH, ELIZABETH","H","SC","1","DEM","OPEN","2014","female","1","8.870967742","democrat","1","0","0","0","0","1","0","0","0","0","SC12014","87.49"
"COLE, MICHAEL KENNETH JR.","H","TX","36","DEM","OPEN","2014","male","0","11.33333333","democrat","1","0","0","0","0","0","0","1","0","0","TX362014","67.74"
"COLEMAN, BONNIE WATSON","H","NJ","12","DEM","OPEN","2014","female","1","20","democrat","1","0","1","0","0","0","0","0","0","0","NJ122014","97.60"
"COLEMAN, MARSHALL W","H","MS","1","DEM","OPEN","2008","male","0","13.93442623","democrat","1","0","0","0","0","0","1","0","0","0","MS12008","38.36"
"COLLINS, MICHAEL DAVID","H","CO","6","DEM","OPEN","2008","male","0","32.30769231","democrat","1","0","0","0","0","0","0","0","1","0","CO62008","84.63"
"CONNER, GAIL M","H","PA","7","DEM","OPEN","2010","female","1","5.418719212","democrat","1","0","1","0","0","0","0","0","0","0","PA72010","98.56"
"CONNER, WILLIAM R.","H","OH","7","DEM","OPEN","2008","male","0","12.12121212","democrat","1","0","0","1","0","0","0","0","0","0","OH72008","71.27"
"CONNOLLY, GERRY","H","VA","11","DEM","OPEN","2008","male","0","10","democrat","1","0","0","0","0","1","0","0","0","0","VA112008","95.97"
"CONTRERAS, MARK ANTHONY","H","CA","36","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA362012","100.00"
"COOK, DAVID RAY","H","AR","1","DEM","OPEN","2010","male","0","16","democrat","1","0","0","0","0","0","0","1","0","0","AR12010","44.64"
"COOK, SUZAN JOHNSON","H","NY","13","DEM","OPEN","2016","female","1","24.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY132016","100.00"
"COOK, TAMARKUS","H","GA","3","DEM","OPEN","2016","male","0","15.55555556","democrat","1","0","0","0","0","1","0","0","0","0","GA32016","60.53"
"CORN, KENNETH RAY","H","OK","2","DEM","OPEN","2012","male","0","3.96039604","democrat","1","0","0","0","0","0","0","1","0","0","OK22012","35.51"
"CORREA, JOSE LUIS (LOU) MR.","H","CA","46","DEM","OPEN","2016","male","0","13.75","democrat","1","0","0","0","0","0","0","0","0","1","CA462016","100.00"
"COTE, ADAM ROLAND","H","ME","1","DEM","OPEN","2008","male","0","23.17880795","democrat","1","1","0","0","0","0","0","0","0","0","ME12008","49.44"
"COUNCIL, TEMPERANCE A LANCE","H","CA","25","DEM","OPEN","2014","female","1","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA252014","94.28"
"COURTNEY, WILLIAM L","H","CA","2","DEM","OPEN","2012","male","0","20","democrat","1","0","0","0","0","0","0","0","0","1","CA22012","67.63"
"COYLE, BILLY","H","OK","5","DEM","OPEN","2010","male","0","2.97029703","democrat","1","0","0","0","0","0","0","1","0","0","OK52010","87.53"
"CRABTREE, VALLERI","H","FL","9","DEM","OPEN","2016","female","1","10.83333333","democrat","1","0","0","0","0","1","0","0","0","0","FL92016","93.95"
"CRAWLEY, CENDIE","H","AL","2","DEM","OPEN","2008","female","1","10.47619048","democrat","1","0","0","0","0","0","1","0","0","0","AL22008","50.02"
"CRIST, CHARLIE JOSEPH","H","FL","13","DEM","OPEN","2016","male","0","10.83333333","democrat","1","0","0","0","0","1","0","0","0","0","FL132016","99.95"
"CRIST, CHERYL A.","H","WA","3","DEM","OPEN","2010","female","1","21.42857143","democrat","1","0","0","0","0","0","0","0","0","1","WA32010","70.84"
"CRONE, JAMES ALAN","H","IN","6","DEM","OPEN","2012","male","0","11","democrat","1","0","0","1","0","0","0","0","0","0","IN62012","59.23"
"CULLERTON, TOM","H","IL","8","DEM","OPEN","2016","male","0","27.11864407","democrat","1","0","0","1","0","0","0","0","0","0","IL82016","99.99"
"DAGHER, PETER ALEXANDER","H","IL","5","DEM","OPEN","2010","male","0","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL52010","100.00"
"DAILEY, LINDA","H","TX","14","DEM","OPEN","2012","female","1","8.666666667","democrat","1","0","0","0","0","0","0","1","0","0","TX142012","71.06"
"DANDEKAR, SWATI ARVIND","H","IA","1","DEM","OPEN","2014","female","1","19","democrat","1","0","0","0","1","0","0","0","0","0","IA12014","62.94"
"DANKS BURKE, LESLIE","H","NY","23","DEM","OPEN","2012","female","1","19.33333333","democrat","1","0","1","0","0","0","0","0","0","0","NY232012","34.79"
"DARGA, KENNETH JAMES","H","MI","8","DEM","OPEN","2014","male","0","14.54545455","democrat","1","0","0","1","0","0","0","0","0","0","MI82014","79.23"
"DAVENPORT, KEITH","H","OK","5","DEM","OPEN","2014","male","0","4.95049505","democrat","1","0","0","0","0","0","0","1","0","0","OK52014","87.64"
"DAVIS, BRUCE EDWARD SR","H","NC","6","DEM","OPEN","2014","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","NC62014","56.28"
"DAVIS, DERECK EUGENE","H","MD","4","DEM","OPEN","2016","male","0","25.53191489","democrat","1","0","0","0","0","1","0","0","0","0","MD42016","98.57"
"DAVIS, JOHN R JR","H","NY","26","DEM","OPEN","2008","male","0","22.66666667","democrat","1","0","1","0","0","0","0","0","0","0","NY262008","71.17"
"DAVIS, TIMOTHY SEAN","H","MO","7","DEM","OPEN","2010","male","0","15.95092025","democrat","1","0","0","0","0","0","0","0","0","0","MO72010","59.28"
"DAYLIN, LEACH B","H","PA","13","DEM","OPEN","2014","male","0","7.881773399","democrat","1","0","1","0","0","0","0","0","0","0","PA132014","100.00"
"DAYSOG, TONY","H","CA","11","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA112014","99.39"
"DECUIR, JASON MAURICE","H","LA","6","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA62008","75.48"
"DEHNE, CHAD","H","NV","2","DEM","OPEN","2012","male","0","26.19047619","democrat","1","0","0","0","0","0","0","0","1","0","NV22012","78.45"
"DEJOIE, JOHN","H","NH","2","DEM","OPEN","2010","male","0","25.25","democrat","1","1","0","0","0","0","0","0","0","0","NH22010","51.83"
"DEL CASTILLO, RAFAEL GOODWIN","H","HI","1","DEM","OPEN","2010","male","0","25.49019608","democrat","1","0","0","0","0","0","0","0","0","1","HI12010","99.27"
"DEL CASTILLO, RAFAEL GOODWIN","H","HI","2","DEM","OPEN","2012","male","0","27.45098039","democrat","1","0","0","0","0","0","0","0","0","1","HI22012","83.65"
"DELACERDA, GABRIEL JOSE","H","IA","3","DEM","OPEN","2014","male","0","19","democrat","1","0","0","0","1","0","0","0","0","0","IA32014","77.76"
"DELATTE, JOE","H","LA","6","DEM","OPEN","2008","male","0","9.523809524","democrat","1","0","0","0","0","0","0","1","0","0","LA62008","75.48"
"DENNENY, DOUGLAS JAMES","H","VA","11","DEM","OPEN","2008","male","0","10","democrat","1","0","0","0","0","1","0","0","0","0","VA112008","95.97"
"DERBY, JILL T","H","NV","2","DEM","OPEN","2008","female","1","23.80952381","democrat","1","0","0","0","0","0","0","0","1","0","NV22008","78.45"
"DESAULNIER, MARK","H","CA","11","DEM","OPEN","2014","male","0","16.25","democrat","1","0","0","0","0","0","0","0","0","1","CA112014","99.39"
"DINGELL, DEBBIE","H","MI","12","DEM","OPEN","2014","female","1","14.54545455","democrat","1","0","0","1","0","0","0","0","0","0","MI122014","97.22"
"DIOUS, IVORY KENNETH","H","GA","10","DEM","OPEN","2014","male","0","16.11111111","democrat","1","0","0","0","0","1","0","0","0","0","GA102014","56.03"
"DITTMAR, JANE DESIMONE","H","VA","5","DEM","OPEN","2016","female","1","14","democrat","1","0","0","0","0","1","0","0","0","0","VA52016","35.30"
"DOBBS, ROBERT","H","SC","1","DEM","OPEN","2010","male","0","6.451612903","democrat","1","0","0","0","0","1","0","0","0","0","SC12010","78.44"
"DONATELLI, JAN H","H","IL","5","DEM","OPEN","2010","female","1","21.18644068","democrat","1","0","0","1","0","0","0","0","0","0","IL52010","100.00"
"DONOGHUE, EILEEN","H","MA","5","DEM","OPEN","2008","female","1","21.25","democrat","1","0","0","0","0","0","0","0","0","0","MA52008","93.44"
"DONOVAN, CHRISTOPHER G","H","CT","5","DEM","OPEN","2012","male","0","21.19205298","democrat","1","1","0","0","0","0","0","0","0","0","CT52012","85.80"
"DOOLAN, THOMAS JOSEPH","H","FL","5","DEM","OPEN","2010","male","0","12.5","democrat","1","0","0","0","0","1","0","0","0","0","FL52010","64.33"
"DOYLE, BRIAN LAMONT","H","SC","3","DEM","OPEN","2010","male","0","6.451612903","democrat","1","0","0","0","0","1","0","0","0","0","SC32010","50.35"
