lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0WA00308&tabIndex=1,S0WA00308,"AKERS, PAUL",S,WA,0,REP,CHALLENGER,BELLINGHAM,WA,98228,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MO02148&tabIndex=1,H0MO02148,"AKIN, W TODD",H,MO,2,REP,INCUMBENT,ST LOUIS,MO,63131,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S4NH00062&tabIndex=1,S4NH00062,"ALCIERE, TOM",S,NH,0,REP,OPEN,HUDSON,NH,3051,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NJ09168&tabIndex=1,H0NJ09168,"ALESSANDRINI, PATRICIA",H,NJ,9,GRE,CHALLENGER,TEANECK,NJ,7666,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0AR00143&tabIndex=1,S0AR00143,"ALEXANDER, JOHN RANDALL (RANDY)",S,AR,0,REP,CHALLENGER,SPRINGDALE,AR,72764,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0MD00341&tabIndex=1,S0MD00341,"ALEXANDER, JOSEPH",S,MD,0,REP,CHALLENGER,SILVER SPRING,MD,20902,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2LA05084&tabIndex=1,H2LA05084,"ALEXANDER, RODNEY M. MR.",H,LA,5,REP,INCUMBENT,QUITMAN,LA,71268,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0PA08106&tabIndex=1,H0PA08106,"ALGEO, JUDITH A",H,PA,8,REP,CHALLENGER,HARTSVILLE,PA,18974,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0RI02253&tabIndex=1,H0RI02253,"ALGER, MICHAEL G.",H,RI,2,IND,CHALLENGER,HOPKINTON,RI,2832,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0NY13066&tabIndex=1,H0NY13066,"ALLEGRETTI, MICHAEL A",H,NY,13,REP,CHALLENGER,BROOKLYN,NY,11209,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S0WA00332&tabIndex=1,S0WA00332,"ALLEN, CHARLES EDWARD",S,WA,0,DEM,CHALLENGER,SEATTLE,WA,98106,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0IN04253&tabIndex=1,H0IN04253,"ALLEN, CHERYL DENISE",H,IN,4,REP,OPEN,MARTINSVILLE,IN,46151,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OK01113&tabIndex=1,H0OK01113,"ALLEN, CRAIG",H,OK,1,REP,CHALLENGER,TULSA,OK,74119,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0OH06163&tabIndex=1,H0OH06163,"ALLEN, DONALD KENNETH DR",H,OH,6,REP,CHALLENGER,YOUNGSTOWN,OH,44511,2010
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI01104&tabIndex=1,H0MI01104,"ALLEN, JASON EDWARD",H,MI,1,REP,OPEN,ALANSON,MI,49706,2010
