lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_cit,can_sta,can_zip,year
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P80002926&tabIndex=1,P80002926,"AARON, LAURA DAVIS",P,US,0,DEM,OPEN,MEMPHIS,TN,38104,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NJ05155&tabIndex=1,H6NJ05155,"ABATE, CAMILLE M",H,NJ,5,DEM,CHALLENGER,GLEN ROCK,NJ,7450,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL16062&tabIndex=1,H8IL16062,"ABBOUD, ROBERT",H,IL,16,DEM,CHALLENGER,ALGONQUIN,IL,60102,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6HI01121&tabIndex=1,H6HI01121,"ABERCROMBIE, NEIL",H,HI,1,DEM,INCUMBENT,Honolulu,HI,96814,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL08093&tabIndex=1,H8IL08093,"ABERNATHY, IAIN",H,IL,8,OTH,CHALLENGER,ROUND LAKE BEACH,IL,60073,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NJ07136&tabIndex=1,H6NJ07136,"ABRAMS, THOMAS D.",H,NJ,7,IND,OPEN,RINGOES,NJ,8551,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IN08125&tabIndex=1,H8IN08125,"ABRAMSON, PAUL",H,IN,8,REP,CHALLENGER,EVANSVILLE,IN,47716,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4NY07011&tabIndex=1,H4NY07011,"ACKERMAN, GARY L.",H,NY,5,DEM,INCUMBENT,Roslyn Heights,NY,11577,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IN04108&tabIndex=1,H8IN04108,"ACKERSON, NELS",H,IN,4,DEM,CHALLENGER,ZIONSVILLE,IN,46077,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC03043&tabIndex=1,H8NC03043,"ADAME', MARHSHALL RICHARD",H,NC,3,DEM,CHALLENGER,JACKSONVILLE,NC,28546,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6FL11175&tabIndex=1,H6FL11175,"ADAMS, EDDIE JR",H,FL,11,REP,OPEN,Tampa,FL,33637,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8ID00134&tabIndex=1,S8ID00134,"ADAMS, FRED M",S,ID,0,REP,OPEN,IDAHO FALLS,ID,83401,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NM01240&tabIndex=1,H8NM01240,"ADAMS, JON",H,NM,3,DEM,OPEN,SANTA FE,NM,87505,2008
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P80004625&tabIndex=1,P80004625,"ADAMS, STEPHEN PAUL",P,US,0,IND,OPEN,LEXINGTON,KY,40515,2008
