Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"BROOKS, JOHN L II",H,CA,51,DEM,OPEN,2012,male,0,20,democrat,1
"BROOKS, TRACEY",H,NY,21,DEM,OPEN,2008,female,1,22.66666667,democrat,1
"BROOMELL, FRANK CRAIG JR",H,NJ,1,DEM,OPEN,2014,male,0,20,democrat,1
"BROWN, ANTHONY GREGORY",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"BROWN, CHARLES",H,CA,4,DEM,OPEN,2008,male,0,21.25,democrat,1
"BROWN, JEFFREY G",H,AZ,1,DEM,OPEN,2008,male,0,15,democrat,1
"BROWN, RACHEL",H,MA,4,DEM,OPEN,2012,female,1,20,democrat,1
"BROWNE, VINNY",H,HI,1,DEM,OPEN,2010,male,0,25.49019608,democrat,1
"BRUTUS, OTTO PATRICK",H,IL,2,DEM,OPEN,2014,male,0,25.42372881,democrat,1
"BRUTUS, PHILLIP J",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"BRYLES, STEVE MARK",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"BULLWINKEL, DEBORAH M",H,IL,8,DEM,OPEN,2016,female,1,27.11864407,democrat,1
"BURNER, DARCY",H,WA,1,DEM,OPEN,2012,female,1,19.3877551,democrat,1
"BURRIDGE, CRAIG MICHAEL",H,NY,21,DEM,OPEN,2008,male,0,22.66666667,democrat,1
"BURTON, ROBERT",H,SC,1,DEM,OPEN,2010,male,0,6.451612903,democrat,1
"BUSH, JAMES III",H,FL,17,DEM,OPEN,2010,male,0,12.5,democrat,1
"BUTCHER, VICKIE",H,CA,52,DEM,OPEN,2008,female,1,21.25,democrat,1
"BUTLER , DEVORE E.",H,TN,6,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"BYRNE, LESLIE L",H,VA,11,DEM,OPEN,2008,female,1,10,democrat,1
"CAFFREY, ANDREW AUGUSTINE IV",H,CA,2,DEM,OPEN,2012,male,0,20,democrat,1
"CAGE, ERICKE",H,VA,5,DEM,OPEN,2016,female,1,14,democrat,1
"CAHIR, WILLIAM JOHN",H,PA,5,DEM,OPEN,2008,male,0,5.418719212,democrat,1
"CAIN, EMILY ANN",H,ME,2,DEM,OPEN,2014,female,1,22.51655629,democrat,1
"CALL, JASON",H,NM,1,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"CALLAHAN, COLLEEN",H,IL,18,DEM,OPEN,2008,female,1,19.49152542,democrat,1
"CAMACHO, RANDY ROBERT",H,AZ,7,DEM,OPEN,2014,male,0,18.33333333,democrat,1
"CAMPBELL, EARL",H,OH,5,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"CANNON, NELSON JEROME",H,MI,1,DEM,OPEN,2016,male,0,15.45454545,democrat,1
"CAPPARELLI, CARY",H,IL,5,DEM,OPEN,2010,male,0,21.18644068,democrat,1
"CARBAJAL, SALUD",H,CA,24,DEM,OPEN,2016,male,0,13.75,democrat,1
"CARMOUCHE, PAUL J. MR.",H,LA,4,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"CARNEY, JOHN CHARLES JR",H,DE,0,DEM,OPEN,2010,male,0,12.19512195,democrat,1
"CARTER, BRETT RYAN",H,TN,6,DEM,OPEN,2010,male,0,12.12121212,democrat,1
"CASE, EDWARD ESPENETT",H,HI,1,DEM,OPEN,2010,male,0,25.49019608,democrat,1
"CASEY, GEORGE NICHOLAS JR",H,WV,2,DEM,OPEN,2014,male,0,11,democrat,1
"CASH, ARTIS",H,LA,4,DEM,OPEN,2008,male,0,9.523809524,democrat,1
"CASTILLE, KALIKO",H,OR,1,DEM,OPEN,2012,female,1,20,democrat,1
"CASTRO, JOAQUIN MR.",H,TX,20,DEM,OPEN,2012,male,0,8.666666667,democrat,1
"CAUSEY, CHAD",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"CEDILLO, GILBERT",H,CA,32,DEM,OPEN,2010,male,0,20,democrat,1
"CERNIC, ED JR",H,PA,12,DEM,OPEN,2010,male,0,5.418719212,democrat,1
"CERVANTES, JOSEPH",H,NM,2,DEM,OPEN,2008,male,0,14.28571429,democrat,1
"CHANE, JONATHAN",H,FL,18,DEM,OPEN,2016,male,0,10.83333333,democrat,1
"CHANG, STANLEY",H,HI,1,DEM,OPEN,2014,male,0,25.49019608,democrat,1
"CHAPIN, DAN",H,CO,4,DEM,OPEN,2014,male,0,27.69230769,democrat,1
"CHAPMAN, DAVE",H,CA,18,DEM,OPEN,2012,male,0,20,democrat,1
"CHATMAN, LAVERN",H,VA,8,DEM,OPEN,2014,male,0,12,democrat,1
"CHAVEZ, CESAR",H,AZ,7,DEM,OPEN,2014,male,0,18.33333333,democrat,1
"CHAVEZ, MARTY",H,NM,1,DEM,OPEN,2012,male,0,17.14285714,democrat,1
"CHICON, MARTIN",H,NY,13,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"CHILDERS, TRAVIS W.",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"CHIVUKULA, UPENDRA J",H,NJ,12,DEM,OPEN,2014,female,1,20,democrat,1
"CHRISTOPHER, WARREN",H,MD,4,DEM,OPEN,2016,male,0,25.53191489,democrat,1
"CICILLINE, DAVID N",H,RI,1,DEM,OPEN,2010,male,0,22.66666667,democrat,1
"CIRELLI, MARY M.",H,OH,16,DEM,OPEN,2008,female,1,12.12121212,democrat,1
"CLARKE, HANSEN",H,MI,14,DEM,OPEN,2014,male,0,14.54545455,democrat,1
"CLARKE, JONATHAN CHARLES ESQ",H,NY,3,DEM,OPEN,2016,male,0,24.66666667,democrat,1
"COHEN, MARK B",H,PA,13,DEM,OPEN,2014,male,0,7.881773399,democrat,1
"COLBERT BUSCH, ELIZABETH",H,SC,1,DEM,OPEN,2014,female,1,8.870967742,democrat,1
"COLE, MICHAEL KENNETH JR.",H,TX,36,DEM,OPEN,2014,male,0,11.33333333,democrat,1
"COLEMAN, BONNIE WATSON",H,NJ,12,DEM,OPEN,2014,female,1,20,democrat,1
"COLEMAN, MARSHALL W",H,MS,1,DEM,OPEN,2008,male,0,13.93442623,democrat,1
"COLLINS, MICHAEL DAVID",H,CO,6,DEM,OPEN,2008,male,0,32.30769231,democrat,1
"CONNER, GAIL M",H,PA,7,DEM,OPEN,2010,female,1,5.418719212,democrat,1
"CONNER, WILLIAM R.",H,OH,7,DEM,OPEN,2008,male,0,12.12121212,democrat,1
"CONNOLLY, GERRY",H,VA,11,DEM,OPEN,2008,male,0,10,democrat,1
"CONTRERAS, MARK ANTHONY",H,CA,36,DEM,OPEN,2012,male,0,20,democrat,1
"COOK, DAVID RAY",H,AR,1,DEM,OPEN,2010,male,0,16,democrat,1
"COOK, SUZAN JOHNSON",H,NY,13,DEM,OPEN,2016,female,1,24.66666667,democrat,1
"COOK, TAMARKUS",H,GA,3,DEM,OPEN,2016,male,0,15.55555556,democrat,1
"CORN, KENNETH RAY",H,OK,2,DEM,OPEN,2012,male,0,3.96039604,democrat,1
"CORREA, JOSE LUIS (LOU) MR.",H,CA,46,DEM,OPEN,2016,male,0,13.75,democrat,1
"COTE, ADAM ROLAND",H,ME,1,DEM,OPEN,2008,male,0,23.17880795,democrat,1
