Florida 13,David Jolly,Republican,2014,1972,42,Male
Florida 14,Kathy Castor,Democratic,2007,1966,41,Female
Florida 15,Dennis Ross,Republican,2011,1959,52,Male
Florida 16,Vern Buchanan,Republican,2007,1951,56,Male
Florida 17,Tom Rooney,Republican,2009,1970,39,Male
Florida 18,Patrick Murphy,Democratic,2013,1983,30,Male
Florida 19,Curt Clawson,Republican,2014,1959,55,Male
Florida 20,Alcee Hastings,Democratic,1993,1936,57,Male
Florida 21,Ted Deutch,Democratic,2010,1966,44,Male
Florida 22,Lois Frankel,Democratic,2013,1948,65,Female
Florida 23,Debbie Wasserman Schultz,Democratic,2005,1966,39,Female
Florida 24,Frederica Wilson,Democratic,2011,1942,69,Female
Florida 25,Mario DÃ_az-Balart,Republican,2003,1961,42,Male
Florida 26,Carlos Curbelo,Republican,2015,1980,35,Male
Florida 27,Ileana Ros-Lehtinen,Republican,1989,1952,37,Female
Georgia 1,Buddy Carter,Republican,2015,1957,58,Male
Georgia 2,Sanford Bishop,Democratic,1993,1947,46,Male
Georgia 3,Lynn Westmoreland,Republican,2003,1950,53,Male
Georgia 4,Hank Johnson,Democratic,2007,1954,53,Male
Georgia 5,John Lewis,Democratic,1987,1940,47,Male
Georgia 6,Tom Price,Republican,2005,1954,51,Male
Georgia 7,Rob Woodall,Republican,2011,1970,41,Male
Georgia 8,Austin Scott,Republican,2011,1969,42,Male
Georgia 9,Doug Collins,Republican,2013,1966,47,Male
Georgia 10,Jody Hice,Republican,2015,1960,55,Male
Georgia 11,Barry Loudermilk,Republican,2015,1963,52,Male
Georgia 12,Rick W. Allen,Republican,2015,1951,64,Male
Georgia 13,David Scott,Democratic,2003,1946,57,Male
Georgia 14,Tom Graves,Republican,2010,1970,40,Male
Hawaii 1,Mark Takai,Democratic,2015,1967,48,Male
Hawaii 2,Tulsi Gabbard,Democratic,2013,1981,32,Female
Idaho 1,RaÃºl Labrador,Republican,2011,1967,44,Male
Idaho 2,Mike Simpson,Republican,1999,1950,49,Male
Illinois 1,Bobby Rush,Democratic,1993,1946,47,Male
Illinois 2,Robin Kelly,Democratic,2013,1956,57,Female
Illinois 3,Dan Lipinski,Democratic,2005,1966,39,Male
